Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.6463626987220292
75% Corpus,2,0.01,0.31,0.6543586300411437
75% Corpus,2,0.01,0.61,0.565082552027198
75% Corpus,2,0.01,0.9099999999999999,0.565082552027198
75% Corpus,2,0.01,symmetric,0.6433573079586867
75% Corpus,2,0.31,0.01,0.6334871998614815
75% Corpus,2,0.31,0.31,0.6412788563537621
75% Corpus,2,0.31,0.61,0.6309784590871634
75% Corpus,2,0.31,0.9099999999999999,0.6292780843091539
75% Corpus,2,0.31,symmetric,0.6291732890982304
75% Corpus,2,0.61,0.01,0.610574049002222
75% Corpus,2,0.61,0.31,0.6139542723873346
75% Corpus,2,0.61,0.61,0.6357447160493488
75% Corpus,2,0.61,0.9099999999999999,0.645069581031006
75% Corpus,2,0.61,symmetric,0.6402212339912656
75% Corpus,2,0.9099999999999999,0.01,0.5646357869700304
75% Corpus,2,0.9099999999999999,0.31,0.5693937576276143
75% Corpus,2,0.9099999999999999,0.61,0.578082426777317
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5757146144255344
75% Corpus,2,0.9099999999999999,symmetric,0.578082426777317
75% Corpus,2,symmetric,0.01,0.6185221697460666
75% Corpus,2,symmetric,0.31,0.6154893511349782
75% Corpus,2,symmetric,0.61,0.6384498728356326
75% Corpus,2,symmetric,0.9099999999999999,0.6297594122289033
75% Corpus,2,symmetric,symmetric,0.6338804794194701
75% Corpus,2,asymmetric,0.01,0.5652759359536592
75% Corpus,2,asymmetric,0.31,0.5473618661973858
75% Corpus,2,asymmetric,0.61,0.611803588261448
75% Corpus,2,asymmetric,0.9099999999999999,0.5449258435842318
75% Corpus,2,asymmetric,symmetric,0.5704332834383056
75% Corpus,3,0.01,0.01,0.6203213161575064
75% Corpus,3,0.01,0.31,0.6216066696733459
75% Corpus,3,0.01,0.61,0.6103937861200618
75% Corpus,3,0.01,0.9099999999999999,0.620893506633441
75% Corpus,3,0.01,symmetric,0.6282246858340188
75% Corpus,3,0.31,0.01,0.6286485893531738
75% Corpus,3,0.31,0.31,0.6164027074758119
75% Corpus,3,0.31,0.61,0.6067845795750794
75% Corpus,3,0.31,0.9099999999999999,0.6270360077678471
75% Corpus,3,0.31,symmetric,0.6164027074758119
75% Corpus,3,0.61,0.01,0.6105297419560013
75% Corpus,3,0.61,0.31,0.6123125398475339
75% Corpus,3,0.61,0.61,0.6071875805858723
75% Corpus,3,0.61,0.9099999999999999,0.5866331790836657
75% Corpus,3,0.61,symmetric,0.6056181620182082
75% Corpus,3,0.9099999999999999,0.01,0.6081158515145183
75% Corpus,3,0.9099999999999999,0.31,0.6048891629802005
75% Corpus,3,0.9099999999999999,0.61,0.602561685658508
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5642450811705714
75% Corpus,3,0.9099999999999999,symmetric,0.6048891629802005
75% Corpus,3,symmetric,0.01,0.6215808754639107
75% Corpus,3,symmetric,0.31,0.6036771169944941
75% Corpus,3,symmetric,0.61,0.6242320003646172
75% Corpus,3,symmetric,0.9099999999999999,0.615152827246495
75% Corpus,3,symmetric,symmetric,0.6036771169944941
75% Corpus,3,asymmetric,0.01,0.5397977917233644
75% Corpus,3,asymmetric,0.31,0.5068958164170422
75% Corpus,3,asymmetric,0.61,0.463074411505001
75% Corpus,3,asymmetric,0.9099999999999999,0.6096107859165166
75% Corpus,3,asymmetric,symmetric,0.44660006180823647
75% Corpus,4,0.01,0.01,0.6130308809623677
75% Corpus,4,0.01,0.31,0.61621251809277
75% Corpus,4,0.01,0.61,0.5625461842504996
75% Corpus,4,0.01,0.9099999999999999,0.6039136426170589
75% Corpus,4,0.01,symmetric,0.6146367638439074
75% Corpus,4,0.31,0.01,0.5790194364707101
75% Corpus,4,0.31,0.31,0.6142174618724741
75% Corpus,4,0.31,0.61,0.5895608658158511
75% Corpus,4,0.31,0.9099999999999999,0.5484417959227464
75% Corpus,4,0.31,symmetric,0.6157621875635273
75% Corpus,4,0.61,0.01,0.5931178121984891
75% Corpus,4,0.61,0.31,0.5747238984518791
75% Corpus,4,0.61,0.61,0.5713960246477107
75% Corpus,4,0.61,0.9099999999999999,0.5499162412598174
75% Corpus,4,0.61,symmetric,0.5692634961275673
75% Corpus,4,0.9099999999999999,0.01,0.5760200561944355
75% Corpus,4,0.9099999999999999,0.31,0.5761364776779809
75% Corpus,4,0.9099999999999999,0.61,0.5184470040976519
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.49199137050344355
75% Corpus,4,0.9099999999999999,symmetric,0.586419655932353
75% Corpus,4,symmetric,0.01,0.6138969089410796
75% Corpus,4,symmetric,0.31,0.5856927689433483
75% Corpus,4,symmetric,0.61,0.5905502310896259
75% Corpus,4,symmetric,0.9099999999999999,0.5638513068769107
75% Corpus,4,symmetric,symmetric,0.6082252074555061
75% Corpus,4,asymmetric,0.01,0.5045999151389148
75% Corpus,4,asymmetric,0.31,0.45779238368919045
75% Corpus,4,asymmetric,0.61,0.3911891148975174
75% Corpus,4,asymmetric,0.9099999999999999,0.4424597716879425
75% Corpus,4,asymmetric,symmetric,0.4506687232692827
75% Corpus,5,0.01,0.01,0.5551674932123012
75% Corpus,5,0.01,0.31,0.5753938089498157
75% Corpus,5,0.01,0.61,0.5715624770470855
75% Corpus,5,0.01,0.9099999999999999,0.5861655550055314
75% Corpus,5,0.01,symmetric,0.6035808563071562
75% Corpus,5,0.31,0.01,0.5930094870348736
75% Corpus,5,0.31,0.31,0.5989324782799385
75% Corpus,5,0.31,0.61,0.5835300649653343
75% Corpus,5,0.31,0.9099999999999999,0.5333828093052311
75% Corpus,5,0.31,symmetric,0.597477604264897
75% Corpus,5,0.61,0.01,0.574917653127665
75% Corpus,5,0.61,0.31,0.5389765494714891
75% Corpus,5,0.61,0.61,0.548349614952572
75% Corpus,5,0.61,0.9099999999999999,0.5165988005110821
75% Corpus,5,0.61,symmetric,0.550081562514732
75% Corpus,5,0.9099999999999999,0.01,0.5617261599435542
75% Corpus,5,0.9099999999999999,0.31,0.541514201822043
75% Corpus,5,0.9099999999999999,0.61,0.5101369942862253
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5077029947989578
75% Corpus,5,0.9099999999999999,symmetric,0.5240372216343175
75% Corpus,5,symmetric,0.01,0.5945577319150049
75% Corpus,5,symmetric,0.31,0.530080888693919
75% Corpus,5,symmetric,0.61,0.5544895914507286
75% Corpus,5,symmetric,0.9099999999999999,0.5557689348007975
75% Corpus,5,symmetric,symmetric,0.5532469716436245
75% Corpus,5,asymmetric,0.01,0.4910521352129706
75% Corpus,5,asymmetric,0.31,0.4210442614776123
75% Corpus,5,asymmetric,0.61,0.3902338220302234
75% Corpus,5,asymmetric,0.9099999999999999,0.44374181584602007
75% Corpus,5,asymmetric,symmetric,0.4054953482224586
75% Corpus,6,0.01,0.01,0.5292195684671575
75% Corpus,6,0.01,0.31,0.5671577105294351
75% Corpus,6,0.01,0.61,0.5696315205677288
75% Corpus,6,0.01,0.9099999999999999,0.563059223295359
75% Corpus,6,0.01,symmetric,0.5477764891933409
75% Corpus,6,0.31,0.01,0.5472351460233053
75% Corpus,6,0.31,0.31,0.5770859093292826
75% Corpus,6,0.31,0.61,0.5615728733553217
75% Corpus,6,0.31,0.9099999999999999,0.5388796632719791
75% Corpus,6,0.31,symmetric,0.5542807152257626
75% Corpus,6,0.61,0.01,0.550171312390824
75% Corpus,6,0.61,0.31,0.5132873418852794
75% Corpus,6,0.61,0.61,0.4760728025686464
75% Corpus,6,0.61,0.9099999999999999,0.4308295151118899
75% Corpus,6,0.61,symmetric,0.521439125929879
75% Corpus,6,0.9099999999999999,0.01,0.5377562885819666
75% Corpus,6,0.9099999999999999,0.31,0.5175759420839646
75% Corpus,6,0.9099999999999999,0.61,0.45922092165793266
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5234216102213103
75% Corpus,6,0.9099999999999999,symmetric,0.5448332094270717
75% Corpus,6,symmetric,0.01,0.5674575785787556
75% Corpus,6,symmetric,0.31,0.5399938528314346
75% Corpus,6,symmetric,0.61,0.5564759356660579
75% Corpus,6,symmetric,0.9099999999999999,0.5280105687864108
75% Corpus,6,symmetric,symmetric,0.5367642070327449
75% Corpus,6,asymmetric,0.01,0.4466132820475282
75% Corpus,6,asymmetric,0.31,0.457423078373981
75% Corpus,6,asymmetric,0.61,0.41783250704440983
75% Corpus,6,asymmetric,0.9099999999999999,0.42551947902165477
75% Corpus,6,asymmetric,symmetric,0.41906339942582144
75% Corpus,7,0.01,0.01,0.5712738885993945
75% Corpus,7,0.01,0.31,0.5435514010520299
75% Corpus,7,0.01,0.61,0.535286968095863
75% Corpus,7,0.01,0.9099999999999999,0.5210246423219731
75% Corpus,7,0.01,symmetric,0.559927465925805
75% Corpus,7,0.31,0.01,0.5647248642372442
75% Corpus,7,0.31,0.31,0.5232845551986022
75% Corpus,7,0.31,0.61,0.5217050569837269
75% Corpus,7,0.31,0.9099999999999999,0.4943458411355814
75% Corpus,7,0.31,symmetric,0.5636885870389365
75% Corpus,7,0.61,0.01,0.5070732336820329
75% Corpus,7,0.61,0.31,0.49709740465529145
75% Corpus,7,0.61,0.61,0.4432891029487394
75% Corpus,7,0.61,0.9099999999999999,0.4157464746197524
75% Corpus,7,0.61,symmetric,0.501052427676093
75% Corpus,7,0.9099999999999999,0.01,0.5354608672190343
75% Corpus,7,0.9099999999999999,0.31,0.4832157263233227
75% Corpus,7,0.9099999999999999,0.61,0.4403848030086589
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5921708201979659
75% Corpus,7,0.9099999999999999,symmetric,0.5041059834758427
75% Corpus,7,symmetric,0.01,0.5416154742887461
75% Corpus,7,symmetric,0.31,0.5684662871555836
75% Corpus,7,symmetric,0.61,0.5517229175817882
75% Corpus,7,symmetric,0.9099999999999999,0.5476765933249854
75% Corpus,7,symmetric,symmetric,0.566318343862507
75% Corpus,7,asymmetric,0.01,0.45559802630228435
75% Corpus,7,asymmetric,0.31,0.4242779916992615
75% Corpus,7,asymmetric,0.61,0.3929787444238742
75% Corpus,7,asymmetric,0.9099999999999999,0.4083330388749732
75% Corpus,7,asymmetric,symmetric,0.4218620946115936
75% Corpus,8,0.01,0.01,0.5634431850604977
75% Corpus,8,0.01,0.31,0.5576143847312467
75% Corpus,8,0.01,0.61,0.5652832000225667
75% Corpus,8,0.01,0.9099999999999999,0.5312037924884302
75% Corpus,8,0.01,symmetric,0.5910098308489521
75% Corpus,8,0.31,0.01,0.5269427663976258
75% Corpus,8,0.31,0.31,0.5100708628531817
75% Corpus,8,0.31,0.61,0.521014177079703
75% Corpus,8,0.31,0.9099999999999999,0.4878415876825596
75% Corpus,8,0.31,symmetric,0.5203182988183055
75% Corpus,8,0.61,0.01,0.4934716773467055
75% Corpus,8,0.61,0.31,0.47557234334983245
75% Corpus,8,0.61,0.61,0.37941142855297716
75% Corpus,8,0.61,0.9099999999999999,0.3717031751714647
75% Corpus,8,0.61,symmetric,0.4780482899790418
75% Corpus,8,0.9099999999999999,0.01,0.5439500427340361
75% Corpus,8,0.9099999999999999,0.31,0.4476833035742329
75% Corpus,8,0.9099999999999999,0.61,0.5111817444277372
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.6353303291182433
75% Corpus,8,0.9099999999999999,symmetric,0.4918311429772739
75% Corpus,8,symmetric,0.01,0.5781331931665742
75% Corpus,8,symmetric,0.31,0.5578230223438734
75% Corpus,8,symmetric,0.61,0.552305488493782
75% Corpus,8,symmetric,0.9099999999999999,0.5556014189865193
75% Corpus,8,symmetric,symmetric,0.5457700172394986
75% Corpus,8,asymmetric,0.01,0.41720197651850244
75% Corpus,8,asymmetric,0.31,0.38293879555089283
75% Corpus,8,asymmetric,0.61,0.40255961230322646
75% Corpus,8,asymmetric,0.9099999999999999,0.40304797789353775
75% Corpus,8,asymmetric,symmetric,0.42064637606978567
75% Corpus,9,0.01,0.01,0.5881125972384137
75% Corpus,9,0.01,0.31,0.5190380282859719
75% Corpus,9,0.01,0.61,0.5013799138097331
75% Corpus,9,0.01,0.9099999999999999,0.4513825899456108
75% Corpus,9,0.01,symmetric,0.5559659769756263
75% Corpus,9,0.31,0.01,0.5259219970183279
75% Corpus,9,0.31,0.31,0.5011987493552297
75% Corpus,9,0.31,0.61,0.5170699087140487
75% Corpus,9,0.31,0.9099999999999999,0.5528745091024578
75% Corpus,9,0.31,symmetric,0.5299602587280502
75% Corpus,9,0.61,0.01,0.4994923385717074
75% Corpus,9,0.61,0.31,0.4433301854540421
75% Corpus,9,0.61,0.61,0.37202182107253245
75% Corpus,9,0.61,0.9099999999999999,0.3712227382670632
75% Corpus,9,0.61,symmetric,0.46586898583745767
75% Corpus,9,0.9099999999999999,0.01,0.5389822941894998
75% Corpus,9,0.9099999999999999,0.31,0.4050903047021079
75% Corpus,9,0.9099999999999999,0.61,0.5646625003665982
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.6419370722398364
75% Corpus,9,0.9099999999999999,symmetric,0.4859641711186933
75% Corpus,9,symmetric,0.01,0.5768417285055931
75% Corpus,9,symmetric,0.31,0.5583203003762075
75% Corpus,9,symmetric,0.61,0.5437501636011249
75% Corpus,9,symmetric,0.9099999999999999,0.5332726303606944
75% Corpus,9,symmetric,symmetric,0.5646486926845314
75% Corpus,9,asymmetric,0.01,0.391478909586151
75% Corpus,9,asymmetric,0.31,0.3631664370053389
75% Corpus,9,asymmetric,0.61,0.3146718671816352
75% Corpus,9,asymmetric,0.9099999999999999,0.42172736004028794
75% Corpus,9,asymmetric,symmetric,0.3853027312924445
75% Corpus,10,0.01,0.01,0.5510567514678467
75% Corpus,10,0.01,0.31,0.5094066688908652
75% Corpus,10,0.01,0.61,0.4897220686100262
75% Corpus,10,0.01,0.9099999999999999,0.4754380374882511
75% Corpus,10,0.01,symmetric,0.5392448393468909
75% Corpus,10,0.31,0.01,0.4883207242922736
75% Corpus,10,0.31,0.31,0.47671261497957057
75% Corpus,10,0.31,0.61,0.47233658283899144
75% Corpus,10,0.31,0.9099999999999999,0.47365252065200797
75% Corpus,10,0.31,symmetric,0.4953772178449879
75% Corpus,10,0.61,0.01,0.501323275179409
75% Corpus,10,0.61,0.31,0.44740788907400936
75% Corpus,10,0.61,0.61,0.3738137407925604
75% Corpus,10,0.61,0.9099999999999999,0.3887540820431303
75% Corpus,10,0.61,symmetric,0.4919226616790054
75% Corpus,10,0.9099999999999999,0.01,0.5458898811354022
75% Corpus,10,0.9099999999999999,0.31,0.4379317854306026
75% Corpus,10,0.9099999999999999,0.61,0.6368043841260839
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.6397993630305817
75% Corpus,10,0.9099999999999999,symmetric,0.506873294877955
75% Corpus,10,symmetric,0.01,0.511999259672729
75% Corpus,10,symmetric,0.31,0.49196476766262653
75% Corpus,10,symmetric,0.61,0.4914223676615375
75% Corpus,10,symmetric,0.9099999999999999,0.4852224531807459
75% Corpus,10,symmetric,symmetric,0.5047619695566746
75% Corpus,10,asymmetric,0.01,0.39248777640182403
75% Corpus,10,asymmetric,0.31,0.35764536772019595
75% Corpus,10,asymmetric,0.61,0.3383201870413558
75% Corpus,10,asymmetric,0.9099999999999999,0.35885906402957524
75% Corpus,10,asymmetric,symmetric,0.39578000788798173
100% Corpus,2,0.01,0.01,0.6463626987220292
100% Corpus,2,0.01,0.31,0.6525652692631865
